accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp
-0.11365907349999999,-0.70408805005,9.442676185249999,0.16142,0.00322,-0.36806000000000005,3.7975000000000003,-0.35000000000000003,2.19625,19.5
-0.1292124204,-0.71126651785,9.486345197699999,0.1729,0.0029400000000000003,-0.3547600000000001,4.4625,-0.08750000000000001,2.5812500000000003,19.5
-0.11844471869999999,-0.68135623535,9.491729048549999,0.17514000000000002,-0.0021000000000000003,-0.36624,3.9637500000000006,-0.1925,2.1612500000000003,19.5
-0.08135596839999999,-0.6628118601999999,9.486345197699999,0.17598000000000003,0.0021000000000000003,-0.36946,3.9550000000000005,-0.42000000000000004,2.415,19.5
-0.11605189609999998,-0.6831508522999998,9.43908695135,0.17206,0.0018200000000000002,-0.36918,4.235,-0.24500000000000002,0.00875,19.5
-0.13160524299999998,-0.7184449856499999,9.527621387549999,0.17850000000000002,0.00602,-0.36148,4.340000000000001,-0.026250000000000002,2.30125,19.5
-0.1328016543,-0.7363911551499999,9.52403215365,0.16982000000000003,0.0021000000000000003,-0.36162000000000005,4.19125,-0.20125,2.4762500000000003,19.5
-0.13220344865,-0.66939212235,9.4971128994,0.17234,0.006580000000000001,-0.3598,4.077500000000001,-0.27125000000000005,2.3625000000000003,19.5
-0.1531406464,-0.66819571105,9.582058101699998,0.17486000000000002,0.0012600000000000003,-0.35938000000000003,4.165,-0.42000000000000004,2.31875,19.5
-0.0849452023,-0.66341006585,9.401399995399998,0.16702,-0.00854,-0.36344000000000004,3.7625,-0.45500000000000007,2.4850000000000003,19.5
-0.1088734283,-0.7100701065499999,9.5258267706,0.17178000000000002,0.006580000000000001,-0.35728000000000004,3.8062500000000004,-0.052500000000000005,2.3537500000000002,19.5
-0.14237294469999998,-0.705882667,9.459425943449999,0.17542000000000002,-0.00238,-0.36988000000000004,4.130000000000001,-0.21000000000000002,2.3975000000000004,19.5
-0.14297115034999996,-0.6963113766000001,9.605388122049998,0.16926000000000002,0.00266,-0.36652,3.8412500000000005,-0.10500000000000001,4.4275,19.5
-0.13459627124999998,-0.6807580296999999,9.5078806011,0.16814,0.0021000000000000003,-0.35854,3.9462500000000005,-0.15750000000000003,2.5812500000000003,19.5
-0.13100703735,-0.6915257314000001,9.5042913672,0.17374,-0.0018200000000000002,-0.35700000000000004,4.1475,-0.20125,2.345,19.5
-0.09990034354999999,-0.70408805005,9.482157758149999,0.16646,-0.0015400000000000001,-0.36148,4.0512500000000005,-0.21000000000000002,2.5987500000000003,19.5
-0.11425727914999999,-0.70887369525,9.47139005645,0.17850000000000002,0.00406,-0.36652,4.130000000000001,-0.22750000000000004,2.2750000000000004,19.5
-0.14656038424999998,-0.66699929975,9.571290399999999,0.17514000000000002,0.00266,-0.36036,3.8937500000000003,-0.25375000000000003,2.4675000000000002,19.5
-0.16869399329999998,-0.7387839777499999,9.513264451949999,0.18018,-0.00014000000000000001,-0.3563,4.3925,-0.11375000000000002,2.4762500000000003,19.5
-0.12263215824999998,-0.7351947438499999,9.5102734237,0.16422000000000003,0.004340000000000001,-0.36078000000000005,3.77125,-0.052500000000000005,2.3625000000000003,19.5
-0.13459627124999998,-0.6963113766000001,9.3547399547,0.16758,-0.0054600000000000004,-0.3668,3.98125,-0.21000000000000002,2.4762500000000003,19.5
-0.12143574694999999,-0.7363911551499999,9.507282395449998,0.17122000000000004,0.010500000000000002,-0.3598,3.7887500000000003,-0.15750000000000003,2.3537500000000002,19.5
-0.10707881135,-0.7423732116499998,9.3810610033,0.16786,-0.00574,-0.36022000000000004,4.0600000000000005,-0.22750000000000004,2.4937500000000004,19.5
-0.14297115034999996,-0.7274180704000001,9.460622354749999,0.17514000000000002,0.0009800000000000002,-0.36568,3.8587500000000006,-0.3325,2.3800000000000003,19.5
-0.14057832774999998,-0.64546389635,9.48335416945,0.17514000000000002,0.00406,-0.36372000000000004,4.24375,-0.39375000000000004,2.45875,19.5
-0.12023933564999999,-0.7441678286,9.413962314049998,0.17738000000000004,0.0012600000000000003,-0.34692,4.03375,-0.5075000000000001,2.2750000000000004,19.5
-0.1351944769,-0.75194450205,9.3511507208,0.17402,-0.00042,-0.36792,3.99,-0.07875000000000001,2.4937500000000004,19.5
-0.0334995164,-0.6675975054,9.475577496,0.17262,-0.00462,-0.36750000000000005,4.0512500000000005,-0.42875,2.42375,19.5
